Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,solar,wind,water
2017,1,1,0,30,3.9,0,0,0,7,3.9,0,0,0,0,304,100,158.02,0.12,1014,1.8,82,0.6,,A1,60,,0,55.0252439654886,236609.729255564
2017,1,1,1,30,0.6,0,0,0,0,-1.3,0,0,0,0,274,87.31,153.62,0.13,1025,0.6,6,0.7,,A2,750,,0,574.118594111071,236408.940799602
2017,1,1,2,30,0.3,0,0,0,0,-1.3,0,0,0,0,275,88.86,145.31,0.13,1024,0.6,172,0.7,,A3,5000,,0,1147.116956819,236414.335312868
2017,1,1,3,30,0,0,0,0,0,-1.3,0,0,0,0,276,90.91,135.35,0.13,1024,0.6,338,0.6,,Cp,0.75,,0,#DIV/0!,236419.730072329
2017,1,1,4,30,-0.1,0,0,0,0,-1.2,0,0,0,0,277,92.06,124.81,0.13,1023,0.7,329,0.6,,R,287.0500676,,0,-2165.03171448826,236466.971856195
2017,1,1,5,30,-0.1,0,0,0,0,-1.1,0,0,0,0,277,93.17,114.22,0.13,1023,0.7,302,0.5,,Wp,180,,0,-1252.91187181034,236466.971856195
2017,1,1,6,30,0,0,0,0,0,-0.9,0,0,1,0,276,93.81,103.91,0.13,1023,0.7,262,0.5,,Ct,0.0038,,0,#DIV/0!,236465.429855162
2017,1,1,7,30,0.3,0,0,0,0,-0.7,0,0,0,0,275,93.22,94.18,0.13,1023,0.7,242,0.5,,K,118370,,0,417.637290603446,236460.803972726
2017,1,1,8,30,2,29,305,55,4,-0.3,16,0,3,16,274,84.87,85.19,0.13,1023,0.7,247,0.7,,,,,16526.87712,171.899508812378,236434.594057219
2017,1,1,9,30,4.1,57,580,179,1,0.8,57,580,0,179,273,79.19,77.78,0.13,1023,0.7,251,0.8,,,,,184200.22566,125.168951876467,236402.225123569
2017,1,1,10,30,6,68,717,289,0,0.9,68,717,0,289,273,69.66,72.09,0.13,1022,0.7,258,1,,,,,296381.81718,166.891617203019,236372.946581523
2017,1,1,11,30,7.7,75,766,354,0,1.2,75,766,0,354,274,63.36,68.64,0.13,1021,0.8,271,1.1,,,,,361930.68324,172.921084267919,236395.840161153
2017,1,1,12,30,8.8,76,777,369,0,1.4,76,777,0,369,275,59.78,67.83,0.13,1021,0.8,278,1.2,,,,,376517.11302,196.436273037636,236381.008162903
2017,1,1,13,30,9.1,73,749,332,0,2,73,749,0,332,276,61.01,69.73,0.13,1020,0.8,281,1,,,,,338579.42328,109.823089533825,236376.963395481
2017,1,1,14,30,8.4,63,668,246,0,3.5,63,668,0,246,277,71.09,74.14,0.13,1019,0.9,284,0.6,,,,,251193.1338,25.6734082421396,236425.637963957
2017,1,1,15,30,7,46,504,128,0,2.7,46,504,0,128,278,74.18,80.6,0.13,1019,0.9,241,0.4,,,,,131033.06496,9.12832293053853,236442.424073613
2017,1,1,16,30,5.6,12,128,16,0,1.1,12,128,0,16,0.28,72.77,88.44,0.13,1019,1,183,0.6,,,,,16420.50144,38.5101123632094,236487.261334067
2017,1,1,17,30,4.2,0,0,0,0,1.2,0,0,0,0,281,80.66,98.01,0.13,1019,1,176,1,,,,,0,237.716742982774,236502.376602133
