Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,2.6,0,0,0,0,2,0,0,0,0,314,96.09,158.04,0.12,1027,1.6,85,1.3
2018,1,1,1,30,4,0,0,0,7,4,0,0,0,0,305,100,153.62,0.13,1013,1.9000000000000001,81,0.8
2018,1,1,2,30,3.9000000000000004,0,0,0,7,3.9000000000000004,0,0,0,0,305,100,145.31,0.13,1012,1.9000000000000001,82,0.9
2018,1,1,3,30,3.9000000000000004,0,0,0,4,3.9000000000000004,0,0,0,0,305,100,135.35,0.13,1011,1.9000000000000001,81,1.1
2018,1,1,4,30,4.1000000000000005,0,0,0,7,4.1000000000000005,0,0,0,0,305,100,124.81,0.13,1010,2,78,1.1
2018,1,1,5,30,4.3,0,0,0,7,4.3,0,0,0,0,306,100,114.21000000000001,0.13,1010,2,74,1.4000000000000001
2018,1,1,6,30,4.4,0,0,0,7,4.4,0,0,0,0,306,100,103.91,0.13,1009,2.1,70,2
2018,1,1,7,30,4.7,0,0,0,6,4.5,0,0,0,0,308,98.88,94.18,0.13,1008,2.1,60,2.4000000000000004
2018,1,1,8,30,5.300000000000001,34,162,47,7,4.800000000000001,4,0,3,4,0.31,96.26,85.19,0.13,1008,2.1,37,2.5
2018,1,1,9,30,5.7,70,436,162,7,5.300000000000001,7,0,3,7,314,96.95,77.79,0.13,1008,2.1,186,2.8000000000000003
2018,1,1,10,30,5.5,100,512,257,7,5.300000000000001,11,0,0,11,318,98.95,72.10000000000001,0.13,1008,2,340,3.3000000000000003
2018,1,1,11,30,4.5,113,570,321,4,4.5,24,0,0,24,322,100,68.66,0.13,1008,1.9000000000000001,319,3.6
2018,1,1,12,30,3.6,115,590,338,7,3.3000000000000003,14,0,0,14,326,97.74000000000001,67.85,0.13,1007,1.8,300,3.8000000000000003
2018,1,1,13,30,3.3000000000000003,113,549,303,7,2.5,15,0,0,15,331,94.29,69.76,0.13,1007,1.6,284,4
2018,1,1,14,30,3.5,98,462,224,7,2.6,10,0,0,10,335,93.54,74.17,0.13,1007,1.5,276,4.3
2018,1,1,15,30,3.6,63,329,117,4,2.9000000000000004,9,0,3,9,338,95.49,80.63,0.13,1007,1.2000000000000002,273,4.3
2018,1,1,16,30,3.2,13,69,15,4,2.9000000000000004,2,0,3,2,341,98.19,88.47,0.13,1007,1,272,3.6
2018,1,1,17,30,2.5,0,0,0,0,2.4000000000000004,0,0,0,0,342,99.28,98.05,0.13,1006,0.8,269,2.8000000000000003
2018,1,1,18,30,1.9000000000000001,0,0,0,1,1.7000000000000002,0,0,0,0,0.34400000000000003,98.48,108.05,0.13,1006,0.7000000000000001,265,2.2
2018,1,1,19,30,1.6,0,0,0,0,1,0,0,0,0,0.34700000000000003,95.83,118.5,0.13,1007,0.8,266,1.8
2018,1,1,20,30,1.6,0,0,0,7,0.4,0,0,0,0,0.34900000000000003,91.84,129.12,0.13,1007,0.9,263,1.4000000000000001
2018,1,1,21,30,2.1,0,0,0,4,0.4,0,0,0,0,0.35000000000000003,88.48,139.5,0.13,1006,1,190,0.9
2018,1,1,22,30,2.1,0,0,0,0,0.9,0,0,0,0,0.35100000000000003,91.47,148.96,0.13,1005,1.2000000000000002,109,0.9
2018,1,1,23,30,1.8,0,0,0,7,1.2000000000000002,0,0,0,0,352,95.81,156,0.13,1004,1.3,95,1.3
2018,1,2,0,30,1.6,0,0,0,0,1.5,0,0,0,0,353,99.5,157.95000000000002,0.13,1004,1.3,95,1.4000000000000001
2018,1,2,1,30,2.4000000000000004,0,0,0,6,1.9000000000000001,0,0,0,0,0.35100000000000003,96.8,153.61,0.13,1004,1.5,83,1
2018,1,2,2,30,2.9000000000000004,0,0,0,6,2.5,0,0,0,0,0.34700000000000003,97.25,145.32,0.13,1005,1.5,38,0.8
2018,1,2,3,30,2.4000000000000004,0,0,0,7,2.4000000000000004,0,0,0,0,0.34400000000000003,100,135.37,0.13,1005,1.4000000000000001,168,0.9
2018,1,2,4,30,1.9000000000000001,0,0,0,7,1.9000000000000001,0,0,0,0,343,100,124.84,0.13,1006,1.4000000000000001,320,1.1
2018,1,2,5,30,1.8,0,0,0,4,1.8,0,0,0,0,343,100,114.24000000000001,0.13,1007,1.3,300,1.6
2018,1,2,6,30,1.5,0,0,0,4,1.3,0,0,0,0,343,98.61,103.92,0.13,1008,1.1,286,2
2018,1,2,7,30,1.5,0,0,0,7,0.2,0,0,0,0,343,91.39,94.19,0.13,1008,1,277,2.2
2018,1,2,8,30,2.6,26,363,57,4,-0.1,4,0,3,4,343,82.65,85.19,0.13,1009,0.8,276,2.8000000000000003
2018,1,2,9,30,4.5,46,662,187,4,0.5,12,0,3,12,343,75.44,77.77,0.13,1010,0.7000000000000001,276,3.4000000000000004
2018,1,2,10,30,6.4,54,802,301,4,1,20,0,0,20,343,68.27,72.05,0.13,1010,0.6000000000000001,273,3.5
2018,1,2,11,30,8.3,56,860,370,3,1.9000000000000001,140,25,0,149,342,64.19,68.59,0.13,1010,0.6000000000000001,274,3.6
2018,1,2,12,30,9.8,56,874,387,0,2.7,56,874,0,387,341,61.2,67.76,0.13,1010,0.6000000000000001,280,3.8000000000000003
2018,1,2,13,30,10.5,55,847,350,0,2.9000000000000004,55,847,0,350,0.34,59.46,69.65,0.13,1010,0.6000000000000001,286,3.7
2018,1,2,14,30,9.700000000000001,49,782,264,0,3.9000000000000004,49,782,0,264,339,67.32000000000001,74.05,0.13,1010,0.6000000000000001,287,3
2018,1,2,15,30,7.4,37,643,144,0,4.6000000000000005,37,643,0,144,339,82.27,80.5,0.13,1011,0.5,287,2.6
2018,1,2,16,30,5.4,13,270,21,0,3.1,13,270,0,21,338,85.23,88.34,0.13,1012,0.5,289,2.9000000000000004
2018,1,2,17,30,4.4,0,0,0,0,2.2,0,0,0,0,337,85.76,97.91,0.13,1012,0.5,291,2.8000000000000003
2018,1,2,18,30,3.6,0,0,0,7,1.2000000000000002,0,0,0,0,337,84.38,107.91,0.13,1013,0.6000000000000001,292,2.4000000000000004
2018,1,2,19,30,3.1,0,0,0,0,0.2,0,0,0,0,338,81.5,118.36,0.13,1013,0.6000000000000001,294,2
2018,1,2,20,30,3,0,0,0,0,-0.4,0,0,0,0,338,78.15,128.98,0.13,1013,0.7000000000000001,299,1.8
2018,1,2,21,30,2.9000000000000004,0,0,0,7,-0.8,0,0,0,0,338,76.8,139.36,0.13,1013,0.7000000000000001,307,1.4000000000000001
2018,1,2,22,30,2.7,0,0,0,7,-1.1,0,0,0,0,0.34,76.26,148.82,0.13,1013,0.8,319,1.1
2018,1,2,23,30,2.7,0,0,0,7,-1.4000000000000001,0,0,0,0,341,74.54,155.88,0.13,1013,0.9,332,0.9
2018,1,3,0,30,2.8000000000000003,0,0,0,7,-1.8,0,0,0,0,342,71.93,157.87,0.13,1013,0.9,337,0.9
2018,1,3,1,30,2.9000000000000004,0,0,0,0,-2.3000000000000003,0,0,0,0,341,68.8,153.58,0.13,1013,1,288,0.6000000000000001
2018,1,3,2,30,2.6,0,0,0,0,-2.6,0,0,0,0,341,68.35000000000001,145.33,0.13,1013,1,235,0.8
2018,1,3,3,30,2.3000000000000003,0,0,0,0,-2.7,0,0,0,0,343,69.52,135.39000000000001,0.13,1013,1.1,228,1.1
2018,1,3,4,30,2,0,0,0,7,-2.5,0,0,0,0,343,72.18,124.86,0.13,1012,1.1,226,1.2000000000000002
2018,1,3,5,30,1.9000000000000001,0,0,0,7,-2,0,0,0,0,0.34,75.44,114.26,0.13,1011,1.1,225,1.2000000000000002
2018,1,3,6,30,2,0,0,0,7,-0.7000000000000001,0,0,0,0,337,82.47,103.94,0.13,1011,1.1,232,1.2000000000000002
2018,1,3,7,30,2.4000000000000004,0,0,0,4,1.1,0,0,0,0,334,90.8,94.19,0.13,1010,1.2000000000000002,236,1.2000000000000002
2018,1,3,8,30,4,27,347,56,0,2.4000000000000004,27,347,0,56,333,89.54,85.18,0.13,1010,1.3,233,1.3
2018,1,3,9,30,6.4,49,610,179,0,4.1000000000000005,49,610,0,179,333,85.10000000000001,77.74,0.13,1009,1.4000000000000001,227,1.5
2018,1,3,10,30,8.4,62,716,283,7,5.1000000000000005,122,218,0,189,333,79.75,72,0.13,1007,1.5,220,2
2018,1,3,11,30,10.100000000000001,67,763,347,2,6.6000000000000005,154,150,0,209,332,78.77,68.52,0.13,1005,1.7000000000000002,217,2.7
2018,1,3,12,30,11.3,66,782,363,6,7.800000000000001,125,0,0,125,332,79.16,67.66,0.13,1003,1.8,226,2.9000000000000004
2018,1,3,13,30,11.8,61,766,329,3,8.700000000000001,146,117,0,187,334,81.47,69.53,0.13,1002,1.9000000000000001,256,2.5
2018,1,3,14,30,11.100000000000001,56,680,244,6,9.4,11,0,0,11,338,89.48,73.92,0.13,1001,2,295,2
2018,1,3,15,30,9.5,43,509,128,6,9.200000000000001,7,0,3,7,0.34500000000000003,98.01,80.37,0.13,1000,1.8,320,2
2018,1,3,16,30,7.7,13,124,17,7,7.7,3,0,3,3,353,100,88.22,0.13,1001,1.5,324,2.4000000000000004
2018,1,3,17,30,6.5,0,0,0,6,6.5,0,0,0,0,357,100,97.76,0.13,1002,1.2000000000000002,309,2.4000000000000004
2018,1,3,18,30,5.7,0,0,0,4,5.7,0,0,0,0,356,99.95,107.76,0.13,1003,1,291,2.8000000000000003
2018,1,3,19,30,5.2,0,0,0,0,4.800000000000001,0,0,0,0,353,97.44,118.22,0.13,1004,0.9,285,3.5
2018,1,3,20,30,4.5,0,0,0,7,3.8000000000000003,0,0,0,0,0.35000000000000003,95.23,128.83,0.13,1005,0.8,285,3.6
2018,1,3,21,30,3.8000000000000003,0,0,0,7,2.7,0,0,0,0,0.34600000000000003,92.28,139.21,0.13,1006,0.7000000000000001,286,3.4000000000000004
2018,1,3,22,30,3.4000000000000004,0,0,0,7,1.6,0,0,0,0,0.34400000000000003,88.27,148.68,0.13,1006,0.6000000000000001,285,3.4000000000000004
2018,1,3,23,30,3.3000000000000003,0,0,0,7,0.9,0,0,0,0,343,84.19,155.75,0.13,1006,0.6000000000000001,280,3.4000000000000004
2018,1,4,0,30,3.3000000000000003,0,0,0,7,0.30000000000000004,0,0,0,0,342,80.88,157.78,0.13,1006,0.6000000000000001,277,3.5
2018,1,4,1,30,3.1,0,0,0,7,-0.2,0,0,0,0,0.34,78.77,153.54,0.13,1006,0.8,270,3.2
2018,1,4,2,30,3.2,0,0,0,7,-0.5,0,0,0,0,0.34,76.81,145.32,0.13,1006,0.9,269,2.9000000000000004
2018,1,4,3,30,3.2,0,0,0,6,-0.6000000000000001,0,0,0,0,0.34,76.04,135.4,0.13,1006,1,267,2.5
2018,1,4,4,30,3.1,0,0,0,6,-0.6000000000000001,0,0,0,0,338,76.54,124.87,0.13,1005,1.2000000000000002,267,2
2018,1,4,5,30,3.1,0,0,0,9,-0.8,0,0,0,0,335,75.75,114.28,0.13,1006,1.3,271,1.7000000000000002
2018,1,4,6,30,3.3000000000000003,0,0,0,7,-0.5,0,0,0,0,331,76.10000000000001,103.95,0.13,1006,1.3,274,1.4000000000000001
2018,1,4,7,30,3.6,0,0,0,7,-0.5,0,0,0,0,328,74.48,94.19,0.13,1006,1.4000000000000001,277,1.1
2018,1,4,8,30,5.4,25,387,58,7,0.2,30,107,3,39,327,69.31,85.16,0.13,1006,1.5,281,1
2018,1,4,9,30,7.4,45,643,182,4,2.7,81,55,3,93,327,71.94,77.7,0.13,1006,1.6,306,0.9
2018,1,4,10,30,8.9,57,741,286,0,3,57,741,0,286,328,66.49,71.94,0.13,1006,1.7000000000000002,331,0.6000000000000001
2018,1,4,11,30,10.4,61,792,353,4,3.9000000000000004,155,133,0,204,329,63.910000000000004,68.43,0.13,1006,1.7000000000000002,312,0.6000000000000001
2018,1,4,12,30,11.3,64,795,367,7,4.3,158,220,0,242,328,62.24,67.55,0.13,1005,1.8,303,0.7000000000000001
2018,1,4,13,30,11.4,65,752,329,1,4.800000000000001,65,752,0,329,328,64.08,69.41,0.13,1005,1.9000000000000001,334,0.8
2018,1,4,14,30,10.700000000000001,58,673,246,0,5.4,58,673,0,246,326,69.61,73.78,0.13,1004,2,188,0.7000000000000001
2018,1,4,15,30,8.9,43,517,131,0,6.800000000000001,43,517,0,131,324,86.84,80.23,0.13,1004,2.1,37,0.7000000000000001
2018,1,4,16,30,7.1000000000000005,14,158,19,0,5,14,158,0,19,322,86.37,88.08,0.13,1004,2.1,58,0.9
2018,1,4,17,30,6.300000000000001,0,0,0,1,4.5,0,0,0,0,322,88.12,97.62,0.13,1004,2.2,67,0.9
2018,1,4,18,30,5.9,0,0,0,0,4.6000000000000005,0,0,0,0,0.32,91.47,107.61,0.13,1004,2.1,57,0.9
2018,1,4,19,30,5.4,0,0,0,7,4.800000000000001,0,0,0,0,317,95.88,118.07000000000001,0.13,1004,2.1,38,0.9
2018,1,4,20,30,4.9,0,0,0,6,4.9,0,0,0,0,313,100,128.69,0.13,1004,2,27,0.9
2018,1,4,21,30,4.5,0,0,0,7,4.5,0,0,0,0,0.31,100,139.06,0.13,1004,1.9000000000000001,20,0.9
2018,1,4,22,30,4,0,0,0,1,4,0,0,0,0,0.31,100,148.53,0.13,1004,1.8,19,0.9
2018,1,4,23,30,3.7,0,0,0,0,3.7,0,0,0,0,0.31,100,155.61,0.13,1004,1.8,17,0.7000000000000001
2018,1,5,0,30,3.6,0,0,0,0,3.6,0,0,0,0,0.31,100,157.68,0.13,1004,1.8,13,0.6000000000000001
2018,1,5,1,30,3.9000000000000004,0,0,0,0,3.7,0,0,0,0,305,98.65,153.5,0.14,1004,1.7000000000000002,274,0.30000000000000004
2018,1,5,2,30,4.1000000000000005,0,0,0,0,3.8000000000000003,0,0,0,0,301,98.10000000000001,145.31,0.14,1004,1.7000000000000002,209,0.30000000000000004
