Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,1.2000000000000002,0,0,0,0,1.2000000000000002,0,0,0,0,323,100,158.06,0.12,1028,1.1,272,1.1
2019,1,1,1,30,2.3000000000000003,0,0,0,0,2.3000000000000003,0,0,0,0,309,100,153.63,0.13,1028,1.5,96,1.3
2019,1,1,2,30,2.2,0,0,0,0,2.2,0,0,0,0,305,100,145.3,0.13,1028,1.5,105,1.3
2019,1,1,3,30,2.1,0,0,0,1,2.1,0,0,0,0,303,100,135.34,0.13,1028,1.4000000000000001,116,1.2000000000000002
2019,1,1,4,30,2,0,0,0,0,2,0,0,0,0,302,100,124.8,0.13,1028,1.4000000000000001,127,1.2000000000000002
2019,1,1,5,30,2,0,0,0,0,2,0,0,0,0,301,100,114.2,0.13,1028,1.3,137,1.1
2019,1,1,6,30,2.1,0,0,0,0,2.1,0,0,0,0,0.3,100,103.9,0.13,1028,1.3,152,1.1
2019,1,1,7,30,2.7,0,0,0,0,2.5,0,0,0,0,298,98.5,94.17,0.13,1028,1.2000000000000002,174,1
2019,1,1,8,30,4.2,28,333,56,8,2.6,5,0,3,5,297,89.05,85.19,0.13,1028,1.2000000000000002,206,0.9
2019,1,1,9,30,6,53,594,178,4,3.3000000000000003,12,0,3,12,296,82.95,77.79,0.13,1028,1.2000000000000002,234,1.1
2019,1,1,10,30,7.7,64,716,285,7,3.2,11,0,3,11,298,73.07000000000001,72.11,0.13,1027,1.2000000000000002,241,1.3
2019,1,1,11,30,9,71,767,350,7,2.9000000000000004,37,0,0,37,301,65.53,68.68,0.13,1026,1.2000000000000002,247,1.4000000000000001
2019,1,1,12,30,9.5,73,779,366,6,2.9000000000000004,14,0,0,14,302,63.32,67.87,0.13,1025,1.1,259,1.6
